symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn
WB,0.1,0.19,0.9,0.13,-4.49,-9.67,,0.2,0.15,6.5,0.69,0.2,0.1
GSIT,-0.14,-0.16,0.74,-0.34,-2119.19,-60.0,['1995'],-0.22,-0.22,-6.75,1.54,0.0,0.0
GRBK,0.1,0.16,1.42,0.16,58.25,-79.09,,0.18,0.13,6.86,0.84,0.24,0.0
AROW,0.01,0.13,1.53,0.09,11.45,-13.3,['1851'],0.08,0.07,13.2,0.53,0.01,0.0
ACGL,0.04,0.13,1.74,0.1,51.74,-23.08,['1995'],0.11,0.1,10.09,0.76,0.06,0.06
EDIT,-0.25,-0.4,1.27,-0.27,24.78,-19.45,,-0.45,-0.45,-6.72,8.56,0.0,0.0
AWRE,-0.1,-0.11,1.01,-0.14,-269.54,-56.61,['1986'],-0.16,-0.16,-7.85,1.36,0.0,0.0
WSFS,0.01,0.11,1.58,0.09,41.36,275.49,['1832'],0.06,0.05,17.17,0.52,0.01,0.0
NEWT,0.06,0.14,0.93,0.22,49.1,,['1998'],0.13,0.08,8.49,0.56,0.45,0.43
OPK,-0.05,-0.07,0.64,-0.03,-67.49,-1109.94,['1991'],-0.08,-0.08,-13.3,1.0,0.08,-2.29
MNOV,-0.16,-0.17,1.25,-0.1,-10.54,-0.2,,-0.24,-0.24,-6.57,3.53,0.0,0.0
BWB,0.01,0.12,1.73,0.08,23.75,-543.73,,0.07,0.05,14.79,0.43,0.04,0.0
CASH,0.02,0.12,1.54,0.11,43.73,43.41,['1954'],0.08,0.07,13.2,0.67,0.01,0.0
FRPH,0.09,0.12,1.29,0.06,4.5,-14.25,,0.15,0.1,7.67,1.14,0.26,-0.66
CGEN,-0.35,-0.47,0.7,-0.46,14.92,-9.99,['1993'],-0.58,-0.58,-7.52,6.85,0.0,0.0
ASYS,-0.04,-0.04,1.74,0.01,-34.1,860.69,1981,-0.06,-0.06,-17.27,0.96,0.04,0.08
LOAN,0.07,0.13,1.5,0.07,1.86,,['1989'],0.14,0.09,8.04,0.24,0.32,0.0
BOOM,0.06,0.1,0.98,-0.0,-59.38,-65.71,['1965'],0.11,0.08,9.89,1.03,0.15,-0.04
LIVE,0.05,0.17,0.52,0.79,-118.2,-26.23,['1968'],0.14,0.13,8.44,0.87,0.19,0.15
ITI,-0.04,-0.07,1.72,-0.05,-159.58,-106.02,['1969'],-0.08,-0.08,-13.3,1.05,0.0,-0.0
ENG,-0.12,-0.18,1.05,-0.19,226.03,-230.18,['1985'],-0.21,-0.2,-6.76,1.37,0.02,-0.02
BRID,0.03,0.06,1.36,-0.05,-54.24,-0.17,['1932'],0.06,0.05,17.17,1.04,0.23,-0.14
PFIE,0.02,0.03,1.12,-0.02,-108.68,-228.59,,0.04,0.04,25.4,1.08,0.0,0.0
XOMA,-0.01,-0.12,1.51,0.07,-279.09,,['1981'],-0.07,,,0.54,,0.03
ANAB,-0.12,-0.14,2.1,-0.08,56.11,93.06,,-0.19,-0.19,-7.16,1.9,0.0,-0.03
ACET,-0.26,0.05,2.23,-0.09,100.66,-33.25,,-0.24,,,7.29,,-0.0
WASH,0.01,0.14,1.5,0.09,4.04,19.6,['1800'],0.08,0.07,13.2,0.54,0.01,0.0
LAND,0.0,0.01,1.2,0.0,40.04,-29.53,['1997'],0.0,0.02,inf,0.58,0.54,0.88
NATR,0.06,0.09,1.1,0.17,-213.84,107.25,['1972'],0.1,0.1,11.0,0.92,0.0,0.01
CRMT,0.1,0.2,0.96,0.21,33.41,-47.85,['1981'],0.2,0.11,6.1,0.89,0.38,0.08
CARV,-0.01,-1.14,0.48,-0.06,-38.35,181.66,['1948'],-0.58,-0.38,-5.52,1.02,0.02,0.0
MAYS,0.0,0.0,1.74,-0.01,-194.24,32.97,['1924'],0.0,0.0,inf,1.03,0.07,-0.38
OFED,0.01,0.05,1.85,0.03,0.0,-11.28,['1924'],0.04,0.04,25.4,0.0,0.02,0.0
HTLD,0.08,0.11,1.77,0.06,3.13,58.42,['1978'],0.14,0.14,8.54,0.89,0.0,
ANIP,-0.01,-0.03,1.93,-0.07,-147.24,492.68,,-0.02,-0.01,-50.1,1.06,0.38,-1.28
ALLT,-0.05,-0.08,1.19,-0.1,17.33,-86.22,['1996'],-0.09,-0.09,-12.01,1.09,0.0,0.0
ONB,0.01,0.08,1.04,0.09,14.15,-8.88,['1834'],0.05,0.03,20.3,0.56,0.09,0.0
GRIN,-0.0,-0.01,1.51,0.25,-102.21,-92.36,['1910'],-0.0,0.02,-inf,0.69,0.34,0.09
BTAI,-0.54,-0.65,1.83,-0.26,83.49,-42.61,,-0.86,-0.86,-9.76,inf,0.0,-0.0
HAIN,-0.01,-0.01,1.74,0.04,-83.9,14.91,['1993'],-0.02,-0.01,-50.1,0.93,0.36,0.08
GEVO,-0.23,-0.27,0.78,-0.14,29.99,-33.95,,-0.36,-0.32,-5.98,78.29,0.1,-0.0
GILT,0.05,0.09,1.35,-0.01,-4.42,78.21,['1987'],0.1,,,0.99,,
GTHX,-0.42,-0.58,1.86,-0.56,24.7,,,-0.71,-0.44,-5.81,5.53,0.3,-0.03
PAVM,-1.67,14.86,1.15,-0.74,48.92,-40.33,,5.76,5.76,57.77,109.79,0.0,
CINF,0.06,0.14,1.31,0.17,232.99,-15.54,['1950'],0.13,0.13,8.99,0.61,0.03,0.01
MRTX,-0.38,-0.43,2.95,-0.14,82.36,-43.21,['1995'],-0.6,-0.6,-7.67,8.95,0.0,0.0
ATXI,-2.55,6.77,8.84,-0.12,-29.15,153.87,,0.84,0.84,9.59,inf,0.0,0.0
GOLD,0.03,0.04,1.14,0.07,-137.11,-20.34,['1983'],0.05,0.05,20.5,0.64,0.12,0.08
DXPE,0.02,0.05,1.39,0.03,-112.95,62.69,['1908'],0.04,0.05,25.5,0.96,0.35,0.53
PLAB,0.03,0.05,1.38,0.05,16.1,-104.49,1969,0.06,0.06,17.27,0.86,0.05,0.02
DLPN,-0.07,-0.22,0.94,-0.3,65.48,,,-0.18,-0.12,-6.76,1.04,0.11,-0.53
GNUS,-1.12,-1.55,1.48,-0.6,1119.15,-20.36,,-1.9,-1.9,-19.53,5.68,0.0,-0.0
GLNG,-0.02,-0.06,1.54,0.15,-76.74,-367.77,['1946'],-0.05,-0.02,-20.2,0.15,0.18,0.12
INGN,0.04,0.05,1.41,-0.01,-59.59,-2167.04,,0.06,0.06,17.27,1.01,0.0,0.0
MATW,-0.0,-0.02,1.51,0.0,-36.43,-3.6,['1850'],-0.01,0.01,-99.9,0.96,0.37,0.42
MARA,-0.76,-1.36,0.93,-0.06,123.58,40.68,,-1.44,-0.7,-7.69,1.57,0.5,-0.02
ERYP,-0.62,-1.53,0.91,-2.59,18.1,-1.02,,-1.38,-0.76,-8.32,14.52,0.23,-0.05
CPHC,0.07,0.1,2.08,0.09,299.18,132.36,['1994'],0.12,0.12,9.53,0.72,0.0,0.0
ORGS,-0.25,-1.53,1.31,-0.36,-619.25,12.42,,-1.02,-0.88,-9.78,1.47,0.08,-0.06
MCHX,-0.16,-0.22,1.4,-0.06,271.17,-71.35,,-0.27,-0.27,-6.4,1.22,0.0,-0.0
OFIX,-0.03,-0.04,0.98,-0.12,-679.91,-3052.09,['1980'],-0.05,-0.05,-20.5,1.0,0.0,-13.71
WTBA,0.01,0.16,1.45,0.13,22.1,-10.88,['1893'],0.09,0.07,11.81,0.39,0.02,0.0
WBA,0.04,0.12,1.39,0.12,146.51,28.67,['1901'],0.1,0.08,10.8,0.97,0.12,0.12
KZR,-0.28,-0.31,2.02,-0.14,33.77,-19.72,,-0.44,-0.42,-6.47,inf,0.04,-0.0
WATT,-1.31,-1.58,1.6,-0.55,-3.81,5.93,,-2.1,-2.1,-21.48,50.44,0.0,0.0
ASTE,0.01,0.01,1.48,0.02,-29.55,-428.84,['1972'],0.02,0.02,50.2,0.98,0.0,0.06
HA,-0.01,-0.16,1.26,-0.2,-134.58,-164.16,['1929'],-0.09,0.02,-10.91,1.24,0.37,-0.27
DRRX,-0.29,-0.7,1.93,-0.33,2005.06,-135.22,['1998'],-0.64,-0.44,-5.96,3.45,0.22,-0.06
OPNT,-0.11,-0.23,2.02,0.03,-177.46,,,-0.22,-0.13,-5.85,0.89,0.23,0.41
DERM,-0.08,0.26,0.71,-1.47,-443.5,,,0.05,0.19,21.9,1.3,0.04,-0.37
POLA,-0.22,-0.32,1.19,-0.05,152.87,47.95,1979,-0.38,-0.37,-6.33,1.18,0.01,-0.02
MARK,-0.7,1.24,0.93,0.95,-109.5,-6.24,,-0.08,,,1.87,,-0.17
CHUY,0.02,0.04,2.48,0.05,-385.63,-45.97,['1982'],0.04,0.04,25.4,0.9,0.0,0.0
GOGL,0.04,0.06,0.89,0.31,-336.39,-25.39,,0.07,0.05,14.79,0.58,0.33,0.06
ZUMZ,0.09,0.16,1.12,0.23,39.47,-24.39,['1978'],0.17,0.17,7.58,0.86,0.0,0.0
CLNE,-0.02,-0.03,1.96,-0.06,19.06,-10.48,,-0.04,-0.03,-25.3,1.37,0.02,-0.05
FGBI,0.01,0.11,1.32,0.11,25.74,1.59,['1934'],0.06,0.05,17.17,0.65,0.02,0.0
DGII,0.02,0.02,3.07,0.01,172.75,-68.18,['1985'],0.03,0.03,33.63,0.94,0.07,0.08
HCM,-0.17,-0.25,1.9,-0.1,38.38,-32.22,,-0.3,,,1.92,,-0.0
LGIH,0.14,0.26,1.6,0.19,43.0,317.35,,0.27,0.17,5.4,0.82,0.34,0.0
GABC,0.01,0.11,0.0,0.0,22.52,-20.46,['1910'],0.06,0.05,17.17,0.51,0.01,0.0
NTIC,0.06,0.07,1.98,0.05,-239.16,-117.73,['1970'],0.1,0.1,11.0,0.98,0.0,0.02
COHU,0.01,-0.01,1.93,0.1,-425.34,-1432.52,1947,0.0,0.01,inf,0.85,0.08,0.05
MVBF,0.01,0.13,1.08,0.13,56.02,1.16,['1997'],0.08,0.06,13.1,0.71,0.03,0.0
HOMB,0.02,0.11,1.48,0.08,6.4,-5.27,['1998'],0.08,0.06,13.1,0.41,0.04,0.0
AEY,-0.27,-0.54,2.19,-0.29,45.62,-63.19,1989,-0.54,,,1.15,,-0.03
CVBF,0.01,0.09,1.83,0.06,13.98,-4.56,['1974'],0.06,,,0.37,,0.0
MOTS,-0.8,-1.53,7.25,-0.27,-4.67,3.33,,-1.56,-0.68,-7.44,46.84,0.44,-0.04
CPSS,0.01,0.14,0.95,0.29,118.86,3.91,['1991'],0.08,0.01,12.6,0.69,0.58,0.0
GBCI,0.01,0.11,2.0,0.04,16.39,-8.5,['1955'],0.06,0.06,17.27,0.51,0.01,0.0
PNRG,0.02,0.04,1.53,0.01,-144.43,-52.22,['1973'],0.04,0.03,25.3,0.96,0.17,0.58
AMKR,0.06,0.12,2.27,0.1,88.33,-22.37,['1968'],0.12,0.1,9.33,0.88,0.16,0.07
FOX,0.07,0.14,1.51,0.07,11.3,14.62,,0.14,0.1,8.14,0.82,0.32,0.15
DBVT,-0.71,-1.01,1.51,-0.65,-14.12,12.5,,-1.21,,,18.44,,
GPRO,0.01,-0.07,1.37,0.44,-128.75,-44.85,,-0.02,-0.06,-50.6,0.9,0.09,0.2
LPCN,-0.51,-1.17,0.0,0.0,-8.08,75.42,,-1.1,,,0.81,,0.06
CNXN,0.07,0.11,2.08,0.05,6.8,131.92,['1982'],0.12,0.12,9.53,0.97,0.0,
XRAY,-0.01,-0.02,1.33,0.06,-288.27,-12.79,['1877'],-0.02,-0.01,-50.1,0.85,0.21,0.09
FOXA,0.07,0.14,1.48,0.07,11.3,14.62,,0.14,0.1,8.14,0.82,0.32,0.15
LASR,-0.04,-0.05,1.56,-0.06,-29.41,-19.17,,-0.06,,,1.11,,-0.01
ATAI,-0.72,-0.85,1.22,-0.36,550.06,-64.95,,-1.14,-1.14,-12.28,6.91,0.0,0.0
BKSC,0.01,0.13,1.74,0.07,-0.54,731.37,['1986'],0.08,0.08,13.3,0.58,0.0,0.0
IMKTA,0.08,0.19,1.86,0.14,47.51,-39.77,['1963'],0.18,0.13,6.86,0.93,0.28,0.07
PFBC,0.02,0.16,1.87,0.09,12.04,-5.26,['1991'],0.1,0.08,10.8,0.3,0.02,0.0
GNPX,-1.34,-1.49,1.47,-0.32,21.24,-17.97,,-2.08,-2.08,-21.28,inf,0.0,
ANGO,-0.08,-0.1,1.31,-0.05,-156.28,-245.77,['1988'],-0.13,-0.12,-8.89,1.07,0.05,-0.03
KALA,-0.6,-3.34,23.15,-0.37,29.55,-18.12,,-2.27,-0.31,-3.54,10.74,0.57,-0.08
CVGI,0.03,0.08,1.66,0.11,-186.95,-33.31,,0.07,0.06,14.89,0.95,0.37,0.21
PRMW,0.02,0.06,1.83,-0.0,-1612.73,5.05,['1955'],0.05,0.05,20.5,0.94,0.33,0.56
PACB,-0.3,-0.64,2.9,-0.08,-289.75,-223.7,,-0.62,-0.29,-4.51,2.37,0.45,-0.07
DLTH,0.05,0.11,1.27,0.1,24.08,-71.13,['1989'],0.11,0.11,10.19,0.94,0.05,0.11
DRIO,-0.89,-1.22,0.92,-0.97,75.44,-34.4,,-1.5,-1.5,-15.67,4.67,0.0,
BLDP,-0.08,-0.1,1.32,-0.07,65.61,-14.16,['1979'],-0.13,-0.13,-8.99,1.82,0.0,-0.02
FMAO,0.01,0.09,1.26,0.06,16.41,-34.02,['1897'],0.06,0.05,17.17,0.56,0.03,0.0
ATSG,0.03,0.13,1.56,0.11,187.14,-1102.46,['1980'],0.1,0.07,10.7,0.87,0.4,0.29
ICHR,0.06,0.14,1.59,0.09,80.59,-179.35,['1999'],0.13,0.09,8.59,0.92,0.28,0.07
IOVA,-0.4,-0.47,1.64,-0.34,41.03,-25.84,,-0.64,-0.64,-7.96,inf,0.0,0.0
PATK,0.07,0.23,1.65,0.18,38.28,-0.84,['1959'],0.18,0.09,6.46,0.91,0.48,0.16
KURA,-0.24,-0.27,2.02,-0.13,30.66,-21.18,,-0.38,,,inf,,-0.0
EYPT,-0.65,-2.97,0.65,-0.49,-8.48,57.74,1987,-2.14,-1.76,-18.07,2.5,0.14,-0.1
ONCY,-1.01,75.65,2.05,-0.36,26.41,-17.41,['1998'],36.82,36.82,368.23,inf,0.0,0.0
EWBC,0.01,0.14,1.65,0.09,11.26,-5.21,['1998'],0.08,0.07,13.2,0.38,0.01,0.0
LWAY,0.01,0.02,2.38,0.03,167.08,-44.51,['1986'],0.02,0.02,50.2,0.95,0.09,0.02
XNCR,-0.02,-0.02,2.35,0.05,-238.44,-255.94,['1997'],-0.03,-0.03,-33.63,0.84,0.0,0.0
PLSE,-1.01,-1.51,1.44,-1.24,19.65,-22.57,,-1.76,-1.76,-18.17,45.44,0.0,-0.01
FARO,-0.05,-0.07,1.81,-0.07,-2638.39,-81.35,['1981'],-0.08,-0.08,-13.3,1.0,0.0,-0.05
WDC,0.01,0.02,0.92,0.13,-137.51,67.28,['1970'],0.02,0.02,50.2,0.87,0.27,0.12
PAAS,0.03,0.04,1.18,0.03,330.39,-26.19,1979,0.05,0.05,20.5,0.83,0.01,0.01
IRBT,0.09,0.13,1.99,0.02,-3.33,-178.38,['1990'],0.16,0.16,7.85,0.99,0.0,0.0
XTLB,-0.02,-0.09,1.42,0.06,17.14,,1993,-0.06,-0.06,-17.27,inf,0.0,0.0
CHCO,0.02,0.13,2.19,0.06,8.74,-9.54,['1957'],0.08,,,0.51,,0.0
CNTY,-0.01,-0.09,1.7,0.09,-218.91,220.31,['1992'],-0.06,0.05,-16.17,0.82,0.63,0.63
CTRE,0.04,0.07,2.01,0.04,14.49,,,0.08,0.06,13.1,0.45,0.41,0.22
HBIO,-0.02,-0.05,1.1,-0.0,10.24,4006.25,['1901'],-0.04,-0.01,-25.1,0.98,0.28,0.75
PLXP,-0.56,0.48,0.26,-4.92,-736.52,,,-0.32,,,5.97,,-0.0
BJRI,0.01,0.03,2.2,-0.0,-110.9,-438.52,['1978'],0.02,0.01,50.1,1.01,0.05,-0.4
LGND,0.14,0.29,1.6,0.04,-591.85,-299.27,['1987'],0.29,0.22,5.65,0.85,0.25,0.48
MU,0.1,0.14,1.28,0.14,36.3,1296.31,['1978'],0.17,0.15,7.38,0.68,0.09,0.02
HSTM,0.0,0.0,0.0,0.0,0.0,0.0,['1990'],0.0,0.0,10.0,0.0,0.0,0.0
PESI,0.01,0.03,1.29,0.02,-103.39,-161.89,['1990'],0.02,0.02,50.2,1.09,0.01,-0.05
GPRE,-0.05,-0.11,1.93,-0.04,-407.35,145.28,,-0.11,-0.05,-9.59,1.0,0.24,-16.4
PERI,0.04,0.07,2.43,0.03,105.54,0.69,['1999'],0.08,,,0.9,,0.0
AGMH,-0.3,-0.44,1.39,0.1,0.0,417.98,,-0.52,-0.52,-7.12,0.0,0.0,0.0
AVDL,-0.25,-8.52,6.16,-0.16,-462.2,19.27,,-4.51,-1.56,-15.82,inf,0.58,-0.12
AKTS,-0.46,-0.74,1.8,-0.32,26.47,-32.06,,-0.83,-0.58,-7.0,4.94,0.27,-0.0
CRSP,-0.08,-0.1,1.77,0.09,-323.53,-191.22,,-0.13,-0.13,-8.99,0.59,0.0,0.0
HUBG,0.07,0.12,2.1,0.06,18.29,8.12,['1971'],0.13,0.12,8.89,0.94,0.07,0.03
CNCE,-0.45,-0.6,1.48,-0.48,14.08,-0.23,,-0.75,-0.75,-8.83,3.38,0.0,0.0
FLEX,0.03,0.12,2.29,0.1,214.64,271.15,['1990'],0.09,0.07,11.81,0.96,0.17,0.16
AMOT,0.05,0.13,2.84,0.05,21.21,-8.25,['1962'],0.12,0.07,9.03,0.93,0.34,0.12
CALA,-0.85,-3.92,18.59,-0.74,30.83,0.97,,-2.81,-2.81,-28.46,12.72,0.0,-0.0
IESC,0.05,0.1,2.0,0.1,-83.01,1.51,['1997'],0.1,0.09,10.9,0.94,0.05,0.01
INTC,0.14,0.26,1.23,0.17,-1.89,27.23,['1968'],0.27,0.2,5.7,0.72,0.2,0.03
MYGN,-0.08,-0.12,1.59,-0.02,-1504.22,-6775.74,['1991'],-0.14,,,1.18,,-0.05
FSBC,0.02,0.24,2.07,0.09,20.37,18.66,['1999'],0.14,0.12,8.34,0.42,0.01,0.0
LSXMB,0.01,0.02,2.11,0.04,-152.78,-1.55,,0.02,0.03,50.3,0.78,0.38,0.25
CENT,0.05,0.11,1.87,0.07,10.29,-15.96,['1955'],0.11,0.08,9.89,0.92,0.38,0.23
QNST,0.07,0.1,2.63,-0.01,-54.39,20.34,['1999'],0.12,0.12,9.53,1.01,0.0,-0.19
CASS,0.01,0.12,2.47,0.05,-1.04,16.42,['1906'],0.07,0.07,14.99,0.77,0.0,0.03
CARA,-0.29,-0.37,2.53,-0.15,-405.27,534.02,,-0.48,-0.48,-6.88,4.87,0.0,0.0
IPGP,0.09,0.11,1.73,0.06,2.54,-2.37,['1990'],0.14,0.14,8.54,0.76,0.01,0.01
ACBI,0.01,0.07,1.94,0.03,-281.94,1.11,,0.05,0.04,20.4,0.65,0.02,0.0
LSXMK,0.01,0.02,1.94,0.04,-152.78,-1.55,,0.02,0.03,50.3,0.78,0.38,0.25
LSXMA,0.01,0.02,1.95,0.04,-152.78,-1.55,,0.02,0.03,50.3,0.78,0.38,0.25
BYSI,-2.48,0.68,0.9,-2.66,11.59,-6.4,,-2.14,,,50.03,,-0.0
WLDN,-0.0,-0.01,1.15,-0.04,-164.37,1012.81,['1964'],-0.0,0.01,-inf,1.02,0.22,-0.45
KTOS,0.01,0.02,1.24,-0.0,-7.62,-221.1,['1994'],0.02,0.03,50.3,0.96,0.19,0.8
LBRDK,0.02,0.03,1.5,0.05,130.45,-39.07,,0.04,-0.57,19.3,1.0,0.23,-39.0
LBRDA,0.02,0.03,1.49,0.05,130.45,-39.07,,0.04,-0.57,19.3,1.0,0.23,-39.0
BGCP,0.03,0.15,2.36,0.08,33.18,-197.92,['1945'],0.1,0.04,10.4,0.98,0.32,0.0
Z,-0.04,-0.06,1.62,-0.06,111.14,-167.16,,-0.07,-0.03,-14.59,1.03,0.12,-0.8
AMCX,0.06,0.67,1.02,0.29,-15.74,194.5,['1980'],0.4,0.12,3.7,0.78,0.49,0.19
WABC,0.01,0.11,2.01,0.05,6.65,5.11,1972,0.06,0.06,17.27,0.45,0.0,0.0
FORD,-0.05,-0.14,1.68,0.04,-180.51,105.02,['1961'],-0.12,-0.08,-9.13,1.02,0.08,-0.22
HIFS,0.02,0.17,1.57,0.12,30.45,-14.2,['1834'],0.11,0.1,10.09,0.18,0.01,0.0
ICCC,-0.03,-0.05,1.48,-0.0,-52.55,38.73,['1982'],-0.06,-0.04,-17.07,0.99,0.19,1.22
ABUS,-0.64,0.63,2.15,-0.21,43.5,3.52,,-0.32,-0.32,-6.32,7.52,0.0,-0.04
CENTA,0.05,0.11,1.93,0.06,10.29,-15.96,['1955'],0.11,0.08,9.89,0.92,0.38,0.23
ZG,-0.04,-0.06,1.64,-0.06,111.14,-167.16,,-0.07,-0.03,-14.59,1.03,0.12,-0.8
PETZ,-0.41,-4.43,14.04,-0.03,0.0,,,-2.62,,,0.0,,-0.24
OSS,-0.0,-0.0,1.42,0.04,-11955.85,13139.63,['1998'],-0.0,,,0.97,,0.3
PETQ,-0.04,-0.12,1.29,-0.05,635.19,-54.97,,-0.1,-0.01,-10.1,0.98,0.55,1.24
LAUR,0.04,0.1,1.66,0.1,-47.71,-67.91,['1989'],0.09,0.08,11.91,0.87,0.03,0.32
NMRK,0.06,0.27,1.35,0.43,271.95,236.21,['1929'],0.2,0.07,5.7,0.98,0.1,0.69
PINC,0.06,0.26,1.76,0.07,44.16,10.28,,0.19,0.17,6.96,0.8,0.06,0.0
HSII,0.0,0.0,0.0,0.0,0.0,0.0,['1953'],0.0,0.0,10.0,0.0,0.0,0.0
GRFS,0.03,0.11,1.23,0.02,-22.24,54.7,['1940'],0.08,0.06,13.1,0.89,0.32,0.42
MGTX,-0.36,-0.5,1.46,-0.29,3.06,-265.92,,-0.61,-0.61,-7.74,2.94,0.0,-0.0
CYRX,-0.15,-0.23,1.48,-0.29,304.32,-8.99,['1999'],-0.26,-0.15,-5.35,1.06,0.36,-0.35
MNRO,0.04,0.08,1.96,0.04,3.77,2.04,['1957'],0.08,0.09,13.4,0.93,0.09,0.24
WERN,0.08,0.15,2.16,0.09,17.93,-697.84,['1956'],0.16,0.12,7.45,0.91,0.16,0.02
DYSL,0.04,0.06,2.12,-0.01,25.99,-229.44,['1960'],0.07,-0.09,13.39,1.0,0.13,18.5
CMCSA,0.05,0.15,1.63,0.09,8.8,-8.6,['1963'],0.12,0.08,9.13,0.82,0.35,0.21
ENTA,0.0,0.0,2.36,-0.08,-31.7,300.46,['1995'],0.0,0.0,inf,2.13,0.0,0.0
ATLC,0.05,7.67,1.42,0.44,193.85,-36.03,['1996'],3.88,0.65,6.76,0.44,0.73,0.0
ARLP,0.08,0.16,2.34,0.06,-120.27,32.77,['1971'],0.16,0.14,7.65,0.87,0.19,0.19
ARCB,0.05,0.12,2.24,0.1,79.19,25.45,['1923'],0.11,0.1,10.09,0.93,0.08,0.03
FIBK,0.01,0.09,1.38,0.07,7.07,9.15,['1971'],0.06,0.05,17.17,0.58,0.01,0.0
ESQ,0.01,0.11,2.47,0.05,31.07,-27.5,,0.06,,,0.6,,0.0
NTRS,0.01,0.14,1.73,0.08,1.57,15.51,['1889'],0.08,0.06,13.1,0.69,0.02,0.0
PTEN,-0.15,-0.26,2.39,-0.17,34.23,-67.1,['1978'],-0.28,-0.17,-5.27,1.3,0.29,-0.1
MNDO,0.18,0.24,1.83,0.14,5.14,-11.96,['1995'],0.3,0.3,6.33,0.74,0.0,0.0
CLSD,-0.99,-2.08,1.79,0.01,-68.58,,,-2.03,,,1.02,,
FISV,0.04,0.15,2.12,0.02,7.25,-21.03,['1984'],0.12,0.08,9.13,0.86,0.27,0.3
CUE,-0.59,-0.77,1.52,-0.44,4.93,-10.63,,-0.98,-0.98,-10.82,3.93,0.0,0.0
IRIX,-0.22,-0.35,1.38,-0.16,-25.62,9.89,1989,-0.4,,,1.14,,0.0
ITRI,-0.02,-0.05,2.13,-0.03,-109.14,-8.6,['1977'],-0.04,-0.03,-25.3,0.98,0.19,0.82
MITK,-0.01,-0.01,2.44,0.02,-423.68,-56.2,['1986'],-0.02,0.0,-50.0,0.81,0.29,0.22
LYL,-0.29,-0.49,0.86,-1.32,0.0,-81.58,,-0.53,-0.53,-7.19,0.0,0.0,-0.16
FLL,-0.01,-0.02,2.27,0.05,2597.98,-216.97,['1987'],-0.02,0.05,-49.5,0.79,0.64,0.62
CPSI,0.05,0.09,1.89,0.04,5.02,-18.66,['1979'],0.1,0.08,10.8,0.9,0.25,0.11
KZIA,-0.47,-0.79,0.46,-2.9,60.54,-29.02,['1994'],-0.86,-0.86,-9.76,2487.57,0.0,0.0
AQMS,-0.62,-0.8,1.92,-0.34,-20.2,62.88,,-1.02,,,101.95,,-0.0
OTIC,-0.49,-0.84,0.09,-10.7,1.08,-2.92,,-0.91,-0.68,-7.9,398.0,0.17,-0.03
CLBK,0.01,0.06,2.21,0.04,68.58,500.03,['1927'],0.04,0.04,25.4,0.53,0.01,0.0
PFMT,-0.11,-0.27,2.05,-0.06,53.51,-334.08,['1976'],-0.24,-0.09,-5.07,1.01,0.16,-8.6
ICAD,-0.28,-1.2,1.04,-0.23,14.7,-23.2,['1984'],-0.88,,,1.32,,-0.01
MNTX,-0.05,-0.13,1.42,-0.05,-13.9,-42.61,['1993'],-0.12,-0.08,-9.13,1.01,0.13,-0.89
HEAR,0.18,0.45,1.01,0.12,2.48,-293.76,['1975'],0.4,0.4,6.5,0.94,0.0,0.02
MEOH,0.05,0.15,1.73,0.17,-256.99,86.87,['1968'],0.12,0.08,9.13,0.84,0.35,0.2
CCRN,-0.01,-0.02,4.4,0.1,-318.48,105.82,['1986'],-0.02,0.0,-50.0,0.91,0.24,0.05
MRTN,0.08,0.11,2.68,0.05,15.9,-171.51,['1946'],0.14,0.14,8.54,0.9,0.0,0.0
MTEX,0.06,0.15,1.74,0.23,-12.36,-82.1,['1993'],0.14,,,0.94,,
ZLAB,-0.41,-0.49,2.58,-0.2,80.03,-39.48,,-0.66,-0.66,-8.12,5.85,0.0,
DOGZ,-0.02,-0.02,0.34,0.11,-232.57,26.98,,-0.03,-0.05,-33.83,0.99,0.05,0.92
CTRN,0.07,0.22,1.55,0.35,60.69,7.72,['1946'],0.18,0.18,7.36,0.92,0.0,0.0
GRPN,-0.03,-0.55,1.17,0.48,382.5,941.55,,-0.31,-0.14,-4.63,0.96,0.19,0.46
CLAR,0.04,0.06,0.74,0.09,153.22,-88.18,['1991'],0.07,0.06,14.89,0.92,0.21,0.09
MRCY,0.03,0.04,1.87,0.0,-8.73,-57.77,['1981'],0.05,0.04,20.4,0.93,0.2,0.14
IIVI,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
PPIH,0.0,0.0,1.39,0.08,-414.4,-73.07,['1993'],0.0,0.01,inf,0.94,0.12,0.1
JAKK,-0.08,-5.26,2.91,-0.04,-33.7,-205.02,['1995'],-2.71,-0.93,-9.67,0.94,0.26,0.36
PLYA,-0.04,-0.15,1.54,-0.09,1911.01,-436.49,,-0.12,-4.29,-51.23,1.0,0.56,-1034.46
ALGT,0.03,0.09,1.17,0.11,-106.11,-70.45,['1997'],0.08,0.05,13.0,0.96,0.33,0.95
FANG,-0.03,-0.06,2.25,0.08,-734.01,-463.54,,-0.06,-0.04,-17.07,0.52,0.29,0.02
MCRB,-0.45,0.63,4.54,-0.11,-9.52,1046.34,,-0.14,-0.1,-8.14,1.45,0.07,-0.05
